,text,target
32,@ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying Watch the video again and tell me with a straight face that that is an earthquake .,0
33,@ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying It will not happen the same way in the video .  The person stan…,0
34,"A 2 . 2 magnitude  # earthquake occured at 10km SSW of Manton, CA .  See the full report at :   ",1
35,"Elden Ring is sooooo hard !   ( Yeah, I know, Souls Games are hard, what a shock !  ) 

And just like BloodBourne, im just… ",0
36,Weather warnings for snow remains in place for many areas of northern Scotland with severe conditions causing major…,0
37,4 . 8 earthquake occurred near Molucca Sea at 07 : 00 UTC !   # earthquake  # MoluccaSea,1
38,"4 . 3 earthquake occurred 66km al SUR de  TECPAN, GRO at 06 : 34 UTC !   # earthquake ",1
39,4 . 3 earthquake occurred near Molucca Sea at 06 : 52 UTC !   # earthquake  # MoluccaSea,1
40,A 2 . 7 magnitude  # earthquake occured at Puerto Rico .  See the full report at :,1
41,4 . 0 earthquake occurred near Molucca Sea at 06 : 42 UTC !   # earthquake  # MoluccaSea,1
42,Earthquake,1
43,4 . 4 earthquake occurred near Molucca Sea at 06 : 33 UTC !   # earthquake  # MoluccaSea,1
44,4 . 2 earthquake occurred near Molucca Sea at 06 : 34 UTC !   # earthquake  # MoluccaSea,1
45,4 . 4 earthquake occurred near Molucca Sea at 06 : 28 UTC !   # earthquake  # MoluccaSea,1
46,"A 2 . 6 magnitude  # earthquake occured at 39 km SSE of Cantwell, Alaska .  See the full report at : … ",1
47,"M7  # EARTHQUAKE !  154 KM NW OF TOBELO, INDONESIA  
DEPTH :  47 . 994 KM AT 2023 - 0 - 3 1 : 6 : 13 . 707 UTC VIA  @ EQTW ",1
48,"A 7 . 0 magnitude  # earthquake occured at 154 km NW of Tobelo, Indonesia .  See the full report at : … ",1
49,4 . 8 earthquake occurred near Molucca Sea at 06 : 21 UTC !   # earthquake  # MoluccaSea,1
50,My people are going to APC and PDP rallies to collect money while the both parties re busy shouting crowd😭 deep dow…,0
51,"A 3 . 3 magnitude  # earthquake occured at 2 km SW of Fern Forest, Hawaii .  See the full report at : … ",1
52,4 . 49 earthquake close to New Zealand at 06 : 14 UTC !   # earthquake  # NewZealand,1
53,@ overwatchleague The SF shock c9 that sparked a lower bracket run where they 4 - 0 every team including the titans in…,0
54,"M7 . 2  # EARTHQUAKE !  150 KM NW OF TOBELO, INDONESIA  
DEPTH :  60 KM AT 2023 - 0 - 3 1 : 6 : 14 . 0 UTC VIA  @ EQTW ",1
55,"A 7 . 2 magnitude  # earthquake occured at 150 km NW of Tobelo, Indonesia .  See the full report at : … ",1
56," @ MsRonnyB  @ hcl2010  @ wattleiwear  @ BreakfastNews  @ AustralianLabor  @ SkyNewsAust I do not know about Zionist, although n… ",0
57,"M7 . 2  # EARTHQUAKE !  MOLUCCA SEA  
DEPTH :  60 . 4 KM AT 2023 - 0 - 3 1 : 6 : 15 . 0 UTC VIA  @ EQTW ",1
58,A 7 . 2 magnitude  # earthquake occured at Molucca Sea .  See the full report at :,1
59,7 . 19 earthquake occurred near Northern Molucca Sea at 06 : 06 UTC !   # earthquake  # NorthernMoluccaSea,1
60,@ JonahTillman6 Not a shock .  Party before profits and profits before people .  That’s the whole premise of the current GQP,0
61,"A 2 . 1 magnitude  # earthquake occured at 59 km WNW of Ninilchik, Alaska .  See the full report at : … ",1
62,Life in actual organized basketball with real referees will be difficult with these players .  Their parents will als…,0
63,@ buggy_con Roanoke Gaming on YouTube is an actual Biologist and has talked about the games in the past .  Especially…,0
64," @ Ltward2 You have to trust me, the shock will wear off with time .  .  . the amount of time though is fluid .  .  . ",0
65,4 . 7 earthquake occurred 13km E of Tinaga Island at 05 : 00 UTC !   # earthquake  # TinagaIsland,1
66,@ JaipurDialogues They have 10 years at Max .  Then we will see such a humongous dip that will shock the world .,0
67,"A 4 . 8 magnitude  # earthquake occured at southwestern Ryukyu Islands, Japan .  See the full report at : … ",1
68,"My mother taught me the love of reading .  With her help, I was born weaving words around my soul .  BUT we rarely shar… ",0
69,I fucking hate twitter now .  This shit is just shock videos and facebook memes,0
70,4 . 5 earthquake occurred 12km E of Tinaga Island at 04 : 51 UTC !   # earthquake  # TinagaIsland,1
71,"1 / 2 Oh Oprah what have you caused ?  You want to be the first to interview them clouded your judgment, but you Shock… ",0
72,ima shock Driah with this news in a few weeks 🤣,0
73,"A 5 . 0 magnitude  # earthquake occured at 96 km SSW of Żurrieq, Malta .  See the full report at :   ",1
74,The Patriots have a ton of cap space along with the 14th pick .  It wouldn’t be that much of a shock if he returned a…,0
75,@ averygrrl 💯 ✅…but do you add something you just finished to your To - Do just so you have something to check off rig…,0
76,@ themanofElohim  @ mxdondevivo go follow this guy and look at his recent earthquake researcher rt his recent post 🌊,0
77,"4 . 6 earthquake close to Miyakojima, Okinawa, Japan at 04 : 33 UTC !   # earthquake ",1
78,4 . 54 earthquake occurred near Central Mediterranean Sea at 04 : 22 UTC !   # earthquake  # CentralMediterraneanSea,1
79,"A 2 . 9 magnitude  # earthquake occured at 3 km S of Guánica, Puerto Rico .  See the full report at : … ",1
80,@ PinkCancerian Ippudu kooda shock ayyanu  .  .  meeru catch chesaru ga,0
81,"A 2 . 1 magnitude  # earthquake occured at 71 km WNW of Happy Valley, Alaska .  See the full report at : … ",1
82,Estoy en shock…,0
83,@ TBKirko quake is so good I love quake it is so good I bought it twice,0
84,Beast quake and Minnesota miracle back to back is not an accident,0
85,@ Asma66672108  @ nothing04040 مو المفروض اول جرعه IV iron تناخد بالمستشفى عشان لو حصل اي anaphylactic shock يلحقوها؟؟؟,0
86,"A 2 . 6 magnitude  # earthquake occured at 2 km W of Meadow Lakes, Alaska .  See the full report at : … ",1
87,I’m literally in shock !  !  Mariah Care and Christina Aguilera ?  ? 🥹🥹,0
88,"A 2 . 5 magnitude  # earthquake occured at 13 km WSW of Carmen, Oklahoma .  See the full report at : … ",1
89,"Dent is wearing his shock absorbent Nikes with that challenged layup .  

The freshman for the three - point play at the line . ",0
90,"4 . 2 earthquake close to Miyakojima, Okinawa, Japan at 03 : 26 UTC !   # earthquake ",1
91,"A 2 . 2 magnitude  # earthquake occured at 34 km ENE of Tanana, Alaska .  See the full report at :   ",1
92,"John Tortorella sucks ass, what a shock ! ",0
93,@ LAPDHQ No thin blue line and you do not even know what it stands for ?  Something is wrong with your decision making . …,0
94,"Siri go home you are drunk

PTJ Muay Thai trainer’s shock as 15 cops turn up after Apple Watch calls police… ",0
95,The downfall of man :  Chronicle XXXX  -  Today not only did I break my omad fast that I have been maintaining for weeks…,0
96," @ EsuranceJack  @ hunter_7s  @ JRobertJohnson4  @ ksorbs Cause there are regulations in place . 
Federal background check .  ( f… ",0
97," @ 517to214 But today it was a “shock” that dallas pulled it off  &  now it’s “Tampa was a bad team . ”
Yesterday it was… ",0
98,WHY do humans have funny bones ?  ?  Can’t the elbow just respond to pain like everywhere else ?  ?  That shock of pain is so unnecessary !  !,0
99,"A 4 . 2 magnitude  # earthquake occured at 5 km S of Santa Bárbara, Guatemala .  See the full report at : … ",1
100,"4 . 2 earthquake occurred 5km S of Santa Bárbara, Guatemala at 02 : 20 UTC !   # earthquake  # SantaBárbara ",1
101,MASH with another mid range jumper  ( Pretend shock )   # GoLobos,0
102,"Pivoting is not the end of the disruption process, but the beginning of the next leg of your journey . ― Jay Samit, ",0
103,"I ran across a Twitter kerfuffle regarding whether preachers should be funny, or employ humor at all .  A defense  ( an… ",0
104,And I’m eating healthy lol my body is gonna go into shock 🙃,0
105,"A 2 . 1 magnitude  # earthquake occured at 1 km NW of Cole, Oklahoma .  See the full report at :   ",1
106," @ Stevehastweeted My not quite BiL was expressing shock at my Bruce love  &  I was like ""I went to see him perform the… ",0
107," @ PropCazhPM That was surprising .  I can only assume they were in shock .  But once that passed, they should have acted… ",0
108,@ pwniR3birth  @ pabloknight10  @ chef___DU Are you looking for a soft yolk or hard yolk ?  If looking for a Japanese styl…,0
109,@ RobertJohn1427  @ StrawStephen  @ scrowder He’s been upfront .  They already know that his YouTube is not making money . …,0
110,"Widespread biological disruption for  # frogs caused by lethal  # pathogen but responses differ by species  .  .  .  

 | … ",0
111,@ JoeStief  @ Bubola Dude going to be in for a shock but he will still hit it,0
112,"A 2 . 2 magnitude  # earthquake occured at 2 km SE of Indios, Puerto Rico .  See the full report at : … ",1
113,How the actual fuck .  They just posted this !  !  !  In shock .,0
114,"In complete shock, Jay was one of those wrestlers that was effortlessly intimidating and put on great matches that… ",0
115,@ Gamergirl_Monty right on my friend !  if you do be careful with the sun dont get burnt to bad .  careful with cold sho…,0
116,"I am absolutely gutted, in shock, and heartbroken . 

He was always such a genuine human being to me when I was aroun… ",0
117,@ spookydaydreams  @ keffals shock and awe 😐,0
118,"I am absolutely gutted, in shock, and heartbroken . … ",0
119,@ Invisible_niqqa Dei enada night fulla boomer thongalaya pola after rachu gave the shock 🤡🤡😂😂😂😂,0
120,"I am hearing a lot of kerfuffle about ""wokeness"" from the far right globally but what l really hear is a ducks in a… ",0
121,@ aacole42 I feel a disturbance in the force,0
122,I’m in shock .   RIP Jay Briscoe,0
123,"A 4 . 6 magnitude  # earthquake occured at 34 km NE of Mercedes, Philippines .  See the full report at : … ",1
124,"Monna movie ki  vellam . 

Maa friend gadu inti daggara nunchi samosas and puffs techadu  .  .  nenu shock .   

Marchipoyy… ",0
125,@ millenialfem  @ to_flutter Ohh the lucky caller 🥰 I love the sultry lips,0
126,"4 . 1 earthquake occurred near Luzon, Philippines at 00 : 56 UTC !   # earthquake  # Luzon ",1
127,"The next cold front moves through early Wednesday, bringing some showers and storms .  Cooler air slowly returns to e… ",0
128,"I need to move somewhere that meets all these conditions :  
✅ summers aren’t too hot
✅ winters aren’t too cold
✅ no… ",0
129,@ marscandybars_  @ GFuelEnergy I don’t have a shock sticker 😕 I tried,0
130,"A 6 . 1 magnitude  # earthquake occured at 65 km SSE of Gorontalo, Indonesia .  See the full report at : … ",1
131,@ georgebsocial  @ TimSweeneyEpic Was given a free copy of Quake that night  ( a week before retail launch )  so I went to…,0
132,"Into my life, I did not like an E or disturbance of you . ",0
133,@ RonFilipkowski That seems worthy of a civil disturbance violation .,0
134,"6 . 3 earthquake occurred near Sulawesi, Indonesia at 00 : 34 UTC !   # earthquake  # Sulawesi ",1
135,"UPDATE :  Fugitive ' s arrest like a  ' quake, '  but Mafia very resilient ",0
136,A 4 . 1 magnitude  # earthquake occured at off the coast of Central America .  See the full report at : …,1
137,"4 . 1 earthquake occurred 57km SW of Jiquilisco, El Salvador at 00 : 20 UTC !   # earthquake  # Jiquilisco ",1
138,@ georgebsocial  @ TimSweeneyEpic I’ve had computers since the Trash80 and Timex Sinclair .  But I purchased my first PC…,0
139,"A 2 . 8 magnitude  # earthquake occured at 6 km E of Hennessey, Oklahoma .  See the full report at : … ",1
140,This was the biggest sticker shock I had on a recent grocery shopping trip .,0
141,@ UltraXBT Or an earthquake happens and your fucked and lost at sea lol .,0
142," @ jen_wrightcr Whoa, that price could shock the heart .  More like Seizure Salad",0
143,"Patients miserable with chest syndromes, effort intolerance, neuropathic dysesthesia / pain, sleep disturbance .   Bloo… ",0
144,"A 2 . 2 magnitude  # earthquake occured at 5 km WNW of Purcell, Oklahoma .  See the full report at : … ",1
145,@ KevinWMunk  @ MikeTaylorShow  @ biggestpuma I would be more shock if it was not .  a shit show .,0
146,"Testing out a bunch of workout apps over the next few months . 

Setting a calendar reminder in April to test out… ",0
147,@ AidanCeitic Dinnae man .  I get a flutter every time I see that shot,0
148,@ muffinsAKA My brother I will gently remind you of quake before you allow this to go on any further,0
149,@ JamesGunn  @ DCComics Will you  &  DC ever do anything with Static Shock in live action ?  ?,0
150,Our Deeds are the Reason of this  # earthquake May ALLAH Forgive us all,0
151,I am in utter shock and devastation you do not go to work to be left feeling how I do now .  Life really is too short  ?  ?,0
152,@ ssssnell yeah I agree but it is the shock factor that ropes people in if they just show devastation then it angers me,0
153,1 . 43 earthquake occurred near Mount St .  Helens area Washington at 09 : 36 UTC !   # earthquake,1
154,Contruction upgrading ferries to earthquake standards in Vashon Mukilteo  -  Q13 FOX   # EarthquakeNews,0
155,# 3Novices  :  Renison mine sees seismic event  A small earthquake at Tasmania ' s Renison tin project has created a tem,0
156,1 . 9 earthquake occurred 15km E of Anchorage Alaska at 00 : 11 UTC !   # earthquake  # Anchorage,1
157,# SCSeEstaPreparando Light mag .  4 . 4 earthquake   -   -  73km SW of Khuzdar Pakistan on Wednes .  .  .   via  @ volcanodiscover,1
158,Nepal earthquake 3 months on :  Women fear abuse  via  @  @ loupascale,0
159,USGS reports a M1 . 94  # earthquake 5km S of Volcano Hawaii on 8 / 6 / 15  @  1 : 04 : 01 UTC   # quake,1
160,GNS sees unnecessary deaths resulting from earthquake strengthening legislation   (  $  ),0
161, There was a small earthquake in LA but do not worry Emily Rossum is fine '   # difficultpeople is great,0
162,Contruction upgrading ferries to earthquake standards in Vashon Mukilteo :  The upgrades will bring the vulnera .  .  .,0
163,earthquake drill atm,0
164,# earthquake  ( EMSC )  :  MD 2 . 9 OFF COAST OF NORTHERN CALIFORNIA  G,1
165, There was a small earthquake in LA but do not worry Emmy Rossum is fine ',0
166,Scared to be living in Seattle when this predicted earthquake is going to destroy  ?  ?  ?  ?,0
167,Rescuers find survivors of Nepal earthquake buried  .  .  .,0
168,The 08 / 06 / 2015 AlabamaQuake seismic summary with  # earthquake  # news  &  history,0
169,Meet Brinco your own personal earthquake snd tsunami early warning beacon .,0
170,1 . 94 earthquake occurred 5km S of Volcano Hawaii at 01 : 04 UTC !   # earthquake  # Volcano,1
171,USGS reports a M1 . 94  # earthquake 5km S of Volcano Hawaii on 8 / 6 / 15  @  1 : 04 : 01 UTC   # quake,1
172,Forest fire near La Ronge Sask .  Canada,0
173,All residents asked to  ' shelter in place '  are being notified by officers .  No other evacuation or shelter in place orders are expected,0
174,"13,000 people receive  # wildfires evacuation orders in California ",0
175,Just got sent this photo from Ruby  # Alaska as smoke from  # wildfires pours into a school ,0
176, # Rocky Fire Update  =  >  California Hwy .  20 closed in both directions due to Lake County fire  -   # CAfire  # wildfires,0
177," # flood  # disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",0
178,I am on top of the hill and I can see a fire in the woods .  .  . ,0
179,There is an emergency evacuation happening now in the building across the street,0
180,I am afraid that the tornado is coming to our area .  .  . ,0
181,Three people died from the heat wave so far,0
182,Haha South Tampa is getting flooded hah -  WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK  # flooding,0
183, # raining  # flooding  # Florida  # TampaBay  # Tampa 18 or 19 days .  I have lost count ,0
184, # Flood in Bago Myanmar  # We arrived Bago,0
185,Damage to school bus on 80 in multi car crash  # BREAKING ,0
186,What is up man ? ,0
187,I love fruits,0
188,Summer is lovely,0
189,My car is so fast,0
190,What a goooooooaaaaaal !  !  !  !  !  ! ,0
191,this is ridiculous .  .  .  . ,0
192,London is cool  ;  ) ,0
193,Love skiing,0
194,What a wonderful day ! ,0
195,LOOOOOOL,0
196,No way .  .  . I cannot eat that shit,0
197,Was in NYC last week ! ,0
198,Love my girlfriend,0
199,Cooool  :  ) ,0
200,Do you like pasta ? ,0
201,The end ! ,0
202, @ bbcmtd Wholesale Markets ablaze ,0
203,We always try to bring the heavy .   # metal  # RT ,0
204, # AFRICANBAZE :  Breaking news : Nigeria flag set ablaze in Aba .  ,0
205,Crying out for more !  Set me ablaze,0
206,On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE ,0
207, @ PhDSquares  # mufc they have built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season . ,0
208,INEC Office in Abia Set Ablaze  -  ,0
209,Barbados  # Bridgetown JAMAICA  Two cars set ablaze :  SANTA CRUZ  Head of the St Elizabeth Police Superintende .  .  .   ,0
210,Ablaze for you Lord  : D,0
211,Check these out :       # nsfw,0
212,"on the outside you are ablaze and alive
but you are dead inside",0
213,Had an awesome time visiting the CFC head office the ancop site and ablaze .  Thanks to Tita Vida for taking care of us  ?  ? ,0
214,SOOOO PUMPED FOR ABLAZE  ?  ?  ?  ?   @ southridgelife,0
215,I wanted to set Chicago ablaze with my preaching .  .  .  But not my hotel !  ,0
216,I gained 3 followers in the last week .  You ?  Know your stats and grow with ,0
217,How the West was burned :  Thousands of wildfires ablaze in California alone ,0
218,Building the perfect tracklist to life leave the streets ablaze,0
219,Check these out :       # nsfw,0
220,First night with retainers in .  It is quite weird .  Better get used to it ;  I have to wear them every single night for the next year at least . ,0
221,Deputies :  Man shot before Brighton home set ablaze ,0
222,"Man wife get six years jail for setting ablaze niece
",0
223,SANTA CRUZ  Head of the St Elizabeth Police Superintendent Lanford Salmon has r  .  .  .   -   ,0
224,Police :  Arsonist Deliberately Set Black Church In North CarolinaAblaze ,0
225,Noches El - Bestia  '  @ Alexis_Sanchez :  happy to see my teammates and training hard  ?  ?  goodnight gunners .  ?  ?  ?  ?  ?  ?   ' ,0
226, # Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in  # Diyala ,0
227,TRUCK ABLAZE  :  R21 .  VOORTREKKER AVE .  OUTSIDE OR TAMBO INTL .  CARGO SECTION .  ,0
228,Set our hearts ablaze and every city was a gift And every skyline was like a kiss upon the lips  @  ,0
229,They sky was ablaze tonight in Los Angeles .  I am expecting IG and FB to be filled with sunset shots if I know my peeps !  ! ,0
230,How the West was burned :  Thousands of wildfires ablaze in  # California alone   # climate  # energy ,0
231,Revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd :  GtxRWm,0
232,"Progressive greetings ! 

In about a month students would have set their pens ablaze in The Torch Publications '  .  .  .  ",0
233,Rene Ablaze  &  Jacinta  -  Secret 2k13  ( Fallen Skies Edit )   -  Mar 30 2013  ,0
234, @ Navista7 Steve these fires out here are something else !  California is a tinderbox  -  and this clown was setting my  ' hood ablaze  @ News24680,0
235, # NowPlaying :  Rene Ablaze  &  Ian Buff  -  Magnitude    # EDM,0
236, @ nxwestmidlands huge fire at Wholesale markets ablaze ,0
237, @ ablaze what time does your talk go until ?  I do not know if I can make it due to work . ,0
238, ' I cannot have kids cuz I got in a bicycle accident  &  split my testicles .  it is impossible for me to have kids '  MICHAEL YOU ARE THE FATHER,0
239,Accident on I - 24 W  # NashvilleTraffic .  Traffic moving 8m slower than usual .  ,0
240,Accident center lane blocked in  # SantaClara on US - 101 NB before Great America Pkwy  # BayArea  # Traffic ,0
241, Had a  # personalinjury accident this summer ?  Read our advice  &  see how a  # solicitor can help  # OtleyHour,0
242, # stlouis  # caraccidentlawyer Speeding Among Top Causes of Teen Accidents   Car Accident tee,0
243,Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle .  Please use .  .  .  ,0
244,BigRigRadio Live Accident Awareness,0
245,I - 77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8 / 6 1 : 18 PM,0
246,RT  @ SleepJunkies :  Sleeping pills double your risk of a car accident ,0
247, ' By accident '  they knew what was gon happen ,0
248,Traffic accident N CABRILLO HWY / MAGELLAN AV MIR  ( 08 / 06 / 15 11 : 03 : 58 ) ,0
249,I - 77 Mile Marker 31 to 40 South Mooresville  Iredell Vehicle Accident Congestion at 8 / 6 1 : 18 PM,0
250,the pastor was not in the scene of the accident .  .  .  .  .  . who was the owner of the range rover  ? ,0
251,"mom :   ' we did not get home as fast as we wished '  
me :   ' why is that ?  ' 
mom :   ' there was an accident and some truck spilt mayonnaise all over  ?  ?  ?  ?  ?  ? ",0
252,I was in a horrible car accident this past Sunday .  I am finally able to get around .  Thank you GOD ?  ? ,0
253,Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident ?  ? ,0
254, # TruckCrash Overturns On  # FortWorth Interstate  Click here if you have been in a crash > ,0
255,Accident in  # Ashville on US 23 SB before SR 752  # traffic ,0
256,Carolina accident :  Motorcyclist Dies in I - 540 Crash With Car That Crossed Median :  A motorcycle rider traveling .  .  .  ,0
257,FYI CAD : FYI :   ; ACCIDENT PROPERTY DAMAGE ; NHS ; 999 Piner RD / Horndale DR,0
258,RT nAAYf :  First accident in years .  Turning onto Chandanee Magu from near MMA .  Taxi rammed into me while I was halfway turned .  Everyone conf,0
259,Accident left lane blocked in  # Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH - 3A delay of 4 mins  # traffic,0
260, ; ACCIDENT PROPERTY DAMAGE ;  Piner RD / Horndale DR,0
261, ?  ?  ?  ?  it was an accident ,0
262,FYI CAD : FYI :   ; ACCIDENT PROPERTY DAMAGE ; WPD ; 1600 S 17TH ST,0
263,2015 - 08 - 06 @ 2 : 09 PM :  TRAFFIC ACCIDENT NO INJURY at 2781 WILLIS FOREMAN RD ,0
264,Aashiqui Actress Anu Aggarwal On Her Near - Fatal Accident ,0
265,Suffield Alberta Accident ,0
266,9 Mile backup on I - 77 South .  .  . accident blocking the Right 2 Lanes at Exit 31 Langtree Rd .  .  . consider NC 115 or NC 150 to NC 16 as alternate,0
267,Has an accident changed your life ?  We will help you determine options that can financially support life care plans and on - going treatment . ,0
268, # BREAKING :  there was a deadly motorcycle car accident that happened to  # Hagerstown today .  I will have more details at 5  @ Your4State .   # WHAG,0
269, @ flowri were you marinading it or was it an accident ? ,0
270,only had a car for not even a week and got in a fucking car accident  .  .  Mfs cannot fucking drive  . ,0
271, .  @ NorwayMFA  # Bahrain police had previously died in a road accident they were not killed by explosion ,0
272,I still have not heard Church Leaders of Kenya coming forward to comment on the accident issue and disciplinary measures # ArrestPastorNganga,0
273, @ afterShock_DeLo scuf ps live and the game .  .  .  cya,0
274," ' The man who can drive himself further once the effort gets painful is the man who will win .  '  
Roger Bannister",0
275,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
276, ' There is no victory at bargain basement prices .  '  Dwight David Eisenhower,0
277,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
278, ' Nobody remembers who came in second .  '  Charles Schulz,0
279, @ afterShock_DeLo im speaking from someone that is using a scuf on xb1 most of them people will end up getting on for ps also . ,0
280, ' The harder the conflict the more glorious the triumph .  '  Thomas Paine,0
281, # GrowingUpSpoiled going clay pigeon shooting and crying because of the  ' aftershock ' ,0
282,So i guess no one actually wants any free Aftershock TC .  .  .  .  . ,0
283,Aftershock was the most terrifying best roller coaster I have ever been on .   * DISCLAIMER *  I have been on very few . ,0
284,Aftershock ,0
285,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
286,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
287,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
288, @ KJForDays I am seeing them and Issues at aftershock  ?  ? ,0
289,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
290,320  [ IR ]  ICEMOON  [ AFTERSHOCK ]   |    |   @ dj icemoon  |   # Dubstep  # Trap Music  # DnB  # EDM  # Dance  # Ices ,0
291, # WisdomWed BONUS  -  5 Minute Daily Habits that could really improve your life .  How many do you already do ?   # lifehacks ,0
292,Aftershock :  Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http ,0
293,That moment when you get on a scary roller coaster and the guy behind you is just screaming bloody murder  ?  ?  ?  ?  ?  ?   # silverwood  # aftershock,0
294,Aftershock ã¢  ( 2010 )  Fullã¢ Streaming  -  YouTube ,0
295," >  >   $ 15 Aftershock  :  Protect Yourself and Profit in the Next Global Financial .  .  .   #  # book 
 @ esquireattire",0
296,Sometimes you face difficulties not because you are doing something wrong but because you are doing something right .   -  Joel Osteen,0
297, ' The only thing that stands between you and your dream is the will to try and the belief that it is actually possible .  '   -  Joel Brown,0
298,Praise God that we have ministry that tells it like it is !  !  !   # now  # wdyouth  # biblestudy ,0
299, ' Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose .  '   Steve Jobs,0
300,Tried orange aftershock today .  My life will never be the same,0
301, @ OnFireAnders I love you bb,0
